Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1908195,ZD6716415,First Flight,delhi,29-Nov-2012,jaipur,30-Nov-2012,Delivered
1908205,ZD6716416,First Flight,delhi,29-Nov-2012,sangrur,1-Dec-2012,Delivered
1908212,ZD6716417,First Flight,delhi,28-Nov-2012,ghaziabad,29-Nov-2012,Delivered
1908213,ZD6716418,First Flight,delhi,28-Nov-2012,ambala,--,In Transit[Contact]
1908216,ZD6716420,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908221,ZD6716914,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908227,ZD6716422,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1908237,ZD6716424,First Flight,delhi,28-Nov-2012,jaipur,--,In Transit[Contact]
1908254,ZD6716428,First Flight,delhi,28-Nov-2012,bhatinda,30-Nov-2012,Pending
1908354,ZD6716444,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1908359,ZD6716916,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908379,ZD6716445,First Flight,delhi,29-Nov-2012,sangrur,--,In Transit[Contact]
1908417,ZD6716452,First Flight,delhi,28-Nov-2012,ghaziabad,3-Dec-2012,Pending
1908450,ZD6716455,First Flight,delhi,28-Nov-2012,patiala,--,In Transit[Contact]
1908477,ZD6716457,First Flight,delhi,29-Nov-2012,lucknow,3-Dec-2012,Pending
1908483,ZD6716917,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908493,ZD6716458,First Flight,delhi,29-Nov-2012,sangrur,--,In Transit[Contact]
1908510,ZD6716918,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908549,ZD6716919,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908624,ZD6716473,First Flight,delhi,28-Nov-2012,ghaziabad,3-Dec-2012,Return to origin
1908646,ZD6716478,First Flight,delhi,28-Nov-2012,bareilly,29-Nov-2012,Pending
1908651,ZD6716479,First Flight,delhi,29-Nov-2012,lucknow,3-Dec-2012,Pending
1908667,ZD6716480,First Flight,delhi,28-Nov-2012,kaithal,29-Nov-2012,Pending
1908728,ZD6719327,First Flight,delhi,28-Nov-2012,delhi,29-Nov-2012,Delivered
1908730,ZD6716488,First Flight,delhi,28-Nov-2012,saharanpur,--,In Transit[Contact]
1908761,ZD6717680,First Flight,delhi,28-Nov-2012,mumbai,30-Nov-2012,Delivered
1908833,ZD6716502,First Flight,delhi,28-Nov-2012,hissar,--,In Transit[Contact]
1908836,ZD6716503,First Flight,delhi,28-Nov-2012,ferozepur,--,In Transit[Contact]
1908867,ZD6716505,First Flight,delhi,28-Nov-2012,kaithal,29-Nov-2012,Pending
1908909,ZD6716511,First Flight,delhi,28-Nov-2012,mukatsar,3-Dec-2012,Delivered
1908920,ZD6716921,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1908947,ZD6716517,First Flight,delhi,28-Nov-2012,ghaziabad,1-Dec-2012,Pending
1908962,ZD6716519,First Flight,delhi,29-Nov-2012,lucknow,1-Dec-2012,Pending
1908988,ZD6716922,First Flight,delhi,28-Nov-2012,chandigarh,29-Nov-2012,Pending
1909074,ZD6716532,First Flight,delhi,28-Nov-2012,noida,29-Nov-2012,Pending
