1653400,Z75254207,DTDC
1653408,X00950316,DTDC
1653451,Z75254211,DTDC
1653491,Z75254213,DTDC
1653619,Z75254219,DTDC
1653677,Z75254224,DTDC
1653703,Z75254226,DTDC
1653725,X00950167,DTDC
1653728,Z75254228,DTDC
1653772,Z75254229,DTDC
1653777,Z75254230,DTDC
1653799,Z75254234,DTDC
1653813,Z75254236,DTDC
1653863,Z75254240,DTDC
1653876,Z75254242,DTDC
1653966,Z75254251,DTDC
1654020,Z75254253,DTDC
1654071,Z75254257,DTDC
1654086,X00950182,DTDC
1654108,Z75254260,DTDC
1654112,Z75254261,DTDC
1654165,Z75254263,DTDC
1654199,Z75254267,DTDC
1654266,Z75254269,DTDC
1654368,Z75254276,DTDC
1654443,Z75254282,DTDC
1654455,Z75254285,DTDC
1654509,Z75254287,DTDC
1654600,Z75254293,DTDC
1654787,X00950217,DTDC
1654819,Z75254309,DTDC
1654828,Z75254310,DTDC
1654840,Z75254311,DTDC
1654936,Z75254315,DTDC
1655098,Z75254325,DTDC
1655126,Z75254328,DTDC
1655224,Z75254333,DTDC
1655257,X00950238,DTDC
1655289,Z75254335,DTDC
1655299,Z75254336,DTDC
1655305,Z75254337,DTDC
1655327,X00950243,DTDC
1655464,Z75254342,DTDC
1655474,X00950358,DTDC
1655491,Z75254344,DTDC
1655515,Z75254345,DTDC
1655555,Z75254348,DTDC
1655582,Z75254350,DTDC
1655638,Z75254352,DTDC
1655642,Z75254353,DTDC
1655694,Z75254357,DTDC
1655858,X00950370,DTDC
1655921,X00950372,DTDC
1655937,X00950373,DTDC
1656018,Z75254367,DTDC
1656042,Z75254369,DTDC
1656076,Z75254370,DTDC
1656095,Z75254371,DTDC
1656180,Z75254378,DTDC
1656181,Z75254379,DTDC
1656229,Z75254381,DTDC
1656239,Z75254382,DTDC
1656343,X00950403,DTDC
1656426,Z75254389,DTDC
1656442,Z75254391,DTDC
1656462,X00950408,DTDC
1656465,X00950409,DTDC
1656466,Z75254392,DTDC
1656636,X00950423,DTDC
1656648,Z75254398,DTDC
1656699,Z75254400,DTDC
1656714,Z75254402,DTDC
1656723,Z75254403,DTDC
1656810,Z75254409,DTDC
1656811,Z75254410,DTDC
1656982,Z75254418,DTDC
1657008,X00950450,DTDC
1657018,Z75254421,DTDC
1657020,Z75254422,DTDC
1657038,Z75254423,DTDC
1657069,Z75254424,DTDC
1657109,Z75254427,DTDC
1657205,X00950466,DTDC
1657239,X00950469,DTDC
1657245,X00950470,DTDC
1657253,Z75254434,DTDC
1657329,Z75254438,DTDC
1657350,X00950476,DTDC
1657363,Z75254440,DTDC
1657403,Z75254441,DTDC
1657457,X00950489,DTDC
