Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1880451,Z77928884,DTDC,,,,,
1881467,Z77928888,DTDC,,,,,
1882895,Z77928846,DTDC,,,,,
1883219,Z77928847,DTDC,,,,,
1883505,X01555873,DTDC,,,,,
1883761,Z77928894,DTDC,,,,,
1883767,Z77928864,DTDC,,,,,
1884161,Z77928896,DTDC,,,,,
1884489,Z77928879,DTDC,,,,,
1881136,Z78623656,DTDC,,,,,
1881212,Z78623656,DTDC,,,,,
1881405,Z78623656,DTDC,,,,,
1884009,k59084963,DTDC,,,,,
1884344,H10299304,DTDC,,,,,
1887642,k59084965,DTDC,,,,,
1843406,Z77930039,DTDC,,,,,
1853703,B88193393,DTDC,,,,,
1869610,Z78498265,DTDC,,,,,
1872426,D11297275,DTDC,,,,,
1874219,D11297277,DTDC,,,,,
1883348,Z77928813,DTDC,,,,,
1883365,Z77928814,DTDC,,,,,
1883448,Z77928815,DTDC,,,,,
1883788,Z77928817,DTDC,,,,,
1883800,Z77928818,DTDC,,,,,
1884282,Z77928825,DTDC,,,,,
1884451,Z77928826,DTDC,,,,,
1884525,Z77928829,DTDC,,,,,
1884765,Z77928905,DTDC,,,,,
1885029,D11297271,DTDC,,,,,
1885050,Z77928925,DTDC,,,,,
1885263,X01555844,DTDC,,,,,
1885325,Z77928919,DTDC,,,,,
1885445,Z77928899,DTDC,,,,,
1885729,D11297268,DTDC,,,,,
1885765,Z77928902,DTDC,,,,,
1886092,D11297269,DTDC,,,,,
1886729,Z77928911,DTDC,,,,,
1886875,B88193394,DTDC,,,,,
1886937,Z77928921,DTDC,,,,,
1886997,Z77928923,DTDC,,,,,
1887179,Z77928853,DTDC,,,,,
1888339,D11297276,DTDC,,,,,
1888444,Z77928851,DTDC,,,,,
1888727,Z77928836,DTDC,,,,,
1888751,Z77928850,DTDC,,,,,
1905025,B88193380,DTDC,,,,,
1828472,M78482296,DTDC,,,,,
1834487,M78482300,DTDC,,,,,
1872607,Z77929159,DTDC,,,,,
1873658,A78498316,DTDC,,,,,
1874130,Z77933726,DTDC,,,,,
1874218,Z77933735,DTDC,,,,,
1874634,Z77933738,DTDC,,,,,
1874703,Z77933457,DTDC,,,,,
1875047,Z77933748,DTDC,,,,,
1875164,Z77933353,DTDC,,,,,
1875325,Z77933633,DTDC,,,,,
1875355,Z77933440,DTDC,,,,,
1875620,Z77933363,DTDC,,,,,
1875681,Z77933678,DTDC,,,,,
1875848,Z77933652,DTDC,,,,,
1875859,Z77933661,DTDC,,,,,
1875940,Z77933641,DTDC,,,,,
1876186,Z77933354,DTDC,,,,,
1876277,Z77933366,DTDC,,,,,
1876324,Z77933682,DTDC,,,,,
1876523,Z77933701,DTDC,,,,,
1876604,Z77933762,DTDC,,,,,
1877022,Z77933750,DTDC,,,,,
1877042,Z77933673,DTDC,,,,,
1877348,Z77933409,DTDC,,,,,
1877399,Z77933358,DTDC,,,,,
1877480,Z77933708,DTDC,,,,,
1877559,Z77933323,DTDC,,,,,
1877591,Z77933741,DTDC,,,,,
1877673,Z77933423,DTDC,,,,,
1877798,Z77933759,DTDC,,,,,
1878156,Z77933,DTDC,,,,,
1878486,Z77933688,DTDC,,,,,
1878604,Z77933436,DTDC,,,,,
1878875,Z77933612,DTDC,,,,,
1878946,Z77933442,DTDC,,,,,
1879165,Z77933373,DTDC,,,,,
1879314,Z77933607,DTDC,,,,,
1879350,Z77933659,DTDC,,,,,
1879385,Z77933337,DTDC,,,,,
1879525,Z77933592,DTDC,,,,,
1879556,Z77933605,DTDC,,,,,
1879617,Z77933336,DTDC,,,,,
1879670,Z77933383,DTDC,,,,,
1879753,Z77933620,DTDC,,,,,
1880002,Z77933420,DTDC,,,,,
1880101,Z77933611,DTDC,,,,,
1880168,Z77933356,DTDC,,,,,
1880210,Z77933414,DTDC,,,,,
1880297,Z77933714,DTDC,,,,,
1880341,Z77933371,DTDC,,,,,
1880448,Z77933600,DTDC,,,,,
1880643,Z77933361,DTDC,,,,,
1880670,Z77933346,DTDC,,,,,
1880807,Z77933729,DTDC,,,,,
1881058,Z77933647,DTDC,,,,,
1881182,Z77933705,DTDC,,,,,
1881218,Z77933449,DTDC,,,,,
1882081,Z77933422,DTDC,,,,,
1882244,Z75241827,DTDC,,,,,
1883204,M81151013,DTDC,,,,,
1885026,Z77929118,DTDC,,,,,
1885143,Z77929174,DTDC,,,,,
1886183,Z77929123,DTDC,,,,,
1886416,Z77929151,DTDC,,,,,
1887140,Z77929171,DTDC,,,,,
1887391,Z77929205,DTDC,,,,,
1887445,Z77929129,DTDC,,,,,
1887515,Z77929207,DTDC,,,,,
1887585,Z77929142,DTDC,,,,,
1887587,Z77929208,DTDC,,,,,
1887600,Z77929184,DTDC,,,,,
1887705,Z77929185,DTDC,,,,,
1887721,Z77929209,DTDC,,,,,
1887736,Z77929187,DTDC,,,,,
1888255,Z77929131,DTDC,,,,,
1888696,Z77929215,DTDC,,,,,
1888714,Z77929155,DTDC,,,,,
1888823,Z77929218,DTDC,,,,,
1888908,Z77929191,DTDC,,,,,
1889015,Z77929133,DTDC,,,,,
1889108,Z77929134,DTDC,,,,,
1889276,Z77929111,DTDC,,,,,
1889304,Z77929163,DTDC,,,,,
1889335,Z77929164,DTDC,,,,,
1889424,Z77929160,DTDC,,,,,
1889486,Z77929194,DTDC,,,,,
1889537,Z77929195,DTDC,,,,,
1889578,Z77929136,DTDC,,,,,
1889587,Z77929165,DTDC,,,,,
1889591,Z77929214,DTDC,,,,,
1889601,Z77929137,DTDC,,,,,
1889723,M81151011,DTDC,,,,,
1889756,Z77929110,DTDC,,,,,
1889880,Z77929196,DTDC,,,,,
1889898,Z77929197,DTDC,,,,,
1889901,Z77929162,DTDC,,,,,
1889952,Z77929143,DTDC,,,,,
1890078,Z77929166,DTDC,,,,,
1890086,Z77929198,DTDC,,,,,
1890098,Z77929138,DTDC,,,,,
1890112,Z77929199,DTDC,,,,,
1890151,Z77929140,DTDC,,,,,
1890179,Z77928943,DTDC,,,,,
1890180,Z77928944,DTDC,,,,,
1890186,Z77928946,DTDC,,,,,
1890189,Z77928947,DTDC,,,,,
1890191,Z77928948,DTDC,,,,,
1890195,Z77928950,DTDC,,,,,
