Order No.,Tracking No,Carrier Name,Booked From,Booked Date,Delivered At,Deliver Date,Status Now
1866490,X01555954,DTDC,,,PATNA,Tue, Dec 04, 2012 1:16 PM,DELIVERED
1866805,M80719021,DTDC,,,HYDERABAD,,IN TRANSIT
1869186,X01555964,DTDC,,,,,
1870686,Z78163644,DTDC,,,TADEPALLI,Sat, Dec 01, 2012 11:20 AM,DELIVERED
1870796,Z75241772,DTDC,,,COCHIN,,IN TRANSIT
1870912,Z78354602,DTDC,,,SHYAMNAGAR,Tue, Nov 27, 2012 10:00 AM,DELIVERED
1839488,Z78163633,DTDC,,,AGRA,,IN TRANSIT
1869088,X01555985,DTDC,,,DELHI,,REVERTED
1870519,Z78164163,DTDC,,,BAHADURGARH,Fri, Nov 23, 2012 10:20 AM,DELIVERED
1872103,Z78164170,DTDC,,,DELHI,,OUT FOR DELIVERY
1873271,Z78163640,DTDC,,,VISHAKAPATNAM,,IN TRANSIT
1830450,M81151018,DTDC,,,NOIDA,Thu, Nov 29, 2012 1:10 PM,DELIVERED
1831625,M81151015,DTDC,,,CANNANORE,Wed, Dec 05, 2012 0:50 PM,DELIVERED
1868509,X01555907,DTDC,,,CANNANORE,Thu, Nov 29, 2012 0:00 PM,DELIVERED
1871470,X01555906,DTDC,,,IMPHAL,Tue, Nov 27, 2012 0:30 PM,DELIVERED
1871765,Z77932054,DTDC,,,SURI,Thu, Dec 06, 2012 1:20 PM,DELIVERED
1872243,X01555901,DTDC,,,DELHI,,RETURN TO ORIGIN
1874719,Z77928808,DTDC,,,CHENNAI,,OUT FOR DELIVERY
1875390,X01555990,DTDC,,,BHAGALPUR,,IN TRANSIT
1883291,X01594512,DTDC,,,ANKLESHWAR,Mon, Dec 10, 2012 2:30 PM,DELIVERED
1883307,X01594514,DTDC,,,,,
1870435,Z77928881,DTDC,,,GUWAHATI,,FDM MANIFEST PREPARED
1875159,Z77928891,DTDC,,,JAIPUR,Mon, Dec 03, 2012 3:00 PM,DELIVERED
1880431,Z77928871,DTDC,,,,,
1880451,Z77928884,DTDC,,,,,
